kepid;koi_disposition;koi_pdisposition;koi_score;koi_period;koi_impact;koi_duration;koi_depth;koi_prad;koi_sma;koi_teq;koi_model_snr
10797460;CONFIRMED;CANDIDATE;1.0000;9.488035570;0.1460;2.95750;6.1580e+02;2.26;0.0853;793.0;35.80
10797460;CONFIRMED;CANDIDATE;0.9690;54.418382700;0.5860;4.50700;8.7480e+02;2.83;0.2734;443.0;25.80
10811496;CANDIDATE;CANDIDATE;0.0000;19.899139950;0.9690;1.78220;1.0829e+04;14.60;0.1419;638.0;76.30
10848459;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.736952453;1.2760;2.40641;8.0792e+03;33.46;0.0267;1395.0;505.60
10854555;CONFIRMED;CANDIDATE;1.0000;2.525591777;0.7010;1.65450;6.0330e+02;2.75;0.0374;1406.0;40.90
10872983;CONFIRMED;CANDIDATE;1.0000;11.094320540;0.5380;4.59450;1.5175e+03;3.90;0.0992;835.0;66.50
10872983;CONFIRMED;CANDIDATE;1.0000;4.134435120;0.7620;3.14020;6.8600e+02;2.77;0.0514;1160.0;40.20
10872983;CONFIRMED;CANDIDATE;0.9920;2.566588970;0.7550;2.42900;2.2650e+02;1.59;0.0374;1360.0;15.00
6721123;FALSE POSITIVE;FALSE POSITIVE;0.0000;7.361789580;1.1690;5.02200;2.3370e+02;39.21;0.0820;1342.0;47.70
10910878;CONFIRMED;CANDIDATE;1.0000;16.068646740;0.0520;3.53470;4.9143e+03;5.76;0.1158;600.0;161.90
11446443;CONFIRMED;CANDIDATE;0.8110;2.470613377;0.8180;1.74319;1.4231e+04;13.04;0.0354;1339.0;4304.30
10666592;CONFIRMED;CANDIDATE;1.0000;2.204735417;0.2240;3.88864;6.6747e+03;16.10;0.0376;2048.0;5945.90
6922244;CONFIRMED;CANDIDATE;0.9980;3.522498429;0.6310;3.19843;9.1457e+03;14.59;0.0473;1521.0;1741.50
10984090;CONFIRMED;CANDIDATE;1.0000;3.709214104;0.0510;2.63020;1.3110e+02;1.16;0.0465;1206.0;50.60
10419211;FALSE POSITIVE;FALSE POSITIVE;0.0000;11.521446064;2.4830;3.63990;1.7984e+04;150.51;0.0978;753.0;622.10
10464078;FALSE POSITIVE;FALSE POSITIVE;0.0000;19.403937760;0.8040;12.21550;8.9187e+03;7.18;0.1230;523.0;214.70
10480982;FALSE POSITIVE;FALSE POSITIVE;0.0000;19.221388942;1.0650;4.79843;7.4284e+04;49.29;0.1417;698.0;2317.00
10485250;FALSE POSITIVE;FALSE POSITIVE;0.0000;16.469837740;0.2920;9.43780;1.0479e+04;7.94;0.1147;595.0;303.40
10526549;CONFIRMED;CANDIDATE;1.0000;9.273581730;0.3870;3.28750;1.2883e+03;2.47;0.0759;649.0;87.20
